Temperature C;Pressure hPa;Humidity %;Date
22,2;99,3;20,8;2019-01-31 15:19:42
21,9;99,3;21,4;2019-01-31 16:19:42
21,8;99,3;21,4;2019-01-31 17:19:42
21,8;99,3;21,3;2019-01-31 18:19:42
21,8;99,3;21,1;2019-01-31 19:19:42
21,8;99,3;20,8;2019-01-31 20:19:42
21,8;99,3;20,5;2019-01-31 21:19:42
21,8;99,3;20,2;2019-01-31 22:19:42
21,8;99,3;19,9;2019-01-31 23:19:42
21,8;99,3;19,6;2019-02-01 00:19:42
21,8;99,2;19,4;2019-02-01 01:19:42
21,8;99,2;19,1;2019-02-01 02:19:42
21,8;99,2;18,7;2019-02-01 03:19:42
21,8;99,2;18,5;2019-02-01 04:19:42
21,8;99,1;18,1;2019-02-01 05:19:42
21,8;99,1;18,3;2019-02-01 06:19:42
21,9;99,1;17,9;2019-02-01 07:19:42
22,1;99,1;18,0;2019-02-01 08:19:42
22,0;99,1;18,5;2019-02-01 09:19:42
22,2;99,1;20,4;2019-02-01 10:19:42
22,1;101,3;21,4;2019-02-04 06:19:42
22,3;101,4;21,2;2019-02-04 07:19:42
22,4;101,5;21,8;2019-02-04 08:19:42
22,4;101,6;23,1;2019-02-04 09:19:42
22,5;101,7;23,6;2019-02-04 10:19:42
22,5;101,8;24,5;2019-02-04 11:19:42
22,5;101,8;24,5;2019-02-04 12:19:42
22,5;101,9;24,6;2019-02-04 13:19:42
22,5;101,9;23,8;2019-02-04 14:19:42
22,5;101,9;23,6;2019-02-04 15:19:42
22,5;101,9;23,0;2019-02-04 16:19:42
22,4;101,9;22,2;2019-02-04 17:19:42
22,2;101,9;21,7;2019-02-04 18:19:42
22,2;102,0;21,3;2019-02-04 19:19:42
22,2;102,0;20,9;2019-02-04 20:19:42
22,2;102,0;20,4;2019-02-04 21:19:42
22,2;101,9;20,3;2019-02-04 22:19:42
22,2;101,9;20,0;2019-02-04 23:19:42
22,2;101,9;19,7;2019-02-05 00:19:42
22,2;101,9;19,3;2019-02-05 01:19:42
22,2;101,8;19,0;2019-02-05 02:19:42
22,1;101,8;18,7;2019-02-05 03:19:42
22,1;101,7;18,4;2019-02-05 04:19:42
22,1;101,6;18,0;2019-02-05 05:19:42
22,3;101,6;18,0;2019-02-05 06:19:42
22,4;101,6;17,9;2019-02-05 07:19:42
22,4;101,6;18,8;2019-02-05 08:19:42
22,5;101,6;19,2;2019-02-05 09:19:42
22,3;101,6;19,6;2019-02-05 10:19:42
22,3;101,6;27,8;2019-02-05 11:19:42
22,4;101,6;26,1;2019-02-05 12:19:42
22,3;101,6;25,6;2019-02-05 13:19:42
22,4;101,5;25,2;2019-02-05 14:19:42
22,4;101,5;24,7;2019-02-05 15:19:42
22,2;101,6;24,5;2019-02-05 16:19:42
22,1;101,6;24,0;2019-02-05 17:19:42
22,1;101,6;23,3;2019-02-05 18:19:42
22,1;101,6;22,9;2019-02-05 19:19:42
22,1;101,6;22,7;2019-02-05 20:19:42
22,1;101,6;22,7;2019-02-05 21:19:42
22,0;101,6;22,9;2019-02-05 22:19:42
22,0;101,6;23,0;2019-02-05 23:19:42
22,0;101,6;23,1;2019-02-06 00:19:42
22,0;101,6;23,1;2019-02-06 01:19:42
22,0;101,7;23,0;2019-02-06 02:19:42
22,0;101,7;22,9;2019-02-06 03:19:42
22,0;101,7;22,7;2019-02-06 04:19:42
22,0;101,7;22,5;2019-02-06 05:19:42
22,0;101,7;23,0;2019-02-06 06:19:42
22,2;101,8;22,4;2019-02-06 07:19:42
22,3;101,8;21,9;2019-02-06 08:19:42
22,4;101,8;23,0;2019-02-06 09:19:42
22,4;101,8;23,0;2019-02-06 10:19:42
22,5;101,8;23,0;2019-02-06 11:19:42
22,6;101,8;22,4;2019-02-06 12:19:42
22,5;101,7;21,6;2019-02-06 13:19:42
22,4;101,6;21,1;2019-02-06 14:19:42
22,3;101,5;20,3;2019-02-06 15:19:42
22,2;101,5;20,0;2019-02-06 16:19:42
22,1;101,4;19,8;2019-02-06 17:19:42
22,1;101,4;19,7;2019-02-06 18:19:42
22,1;101,4;19,2;2019-02-06 19:19:42
22,2;101,3;18,7;2019-02-06 20:19:42
22,2;101,3;18,4;2019-02-06 21:19:42
22,2;101,2;18,3;2019-02-06 22:19:42
22,2;101,2;18,2;2019-02-06 23:19:42
22,2;101,1;18,2;2019-02-07 00:19:42
22,2;101,1;18,1;2019-02-07 01:19:42
22,2;101,0;17,9;2019-02-07 02:19:42
22,2;101,0;17,7;2019-02-07 03:19:42
22,2;100,9;17,5;2019-02-07 04:19:42
22,2;100,8;17,1;2019-02-07 05:19:42
22,3;100,8;17,2;2019-02-07 06:19:42
22,3;100,7;17,1;2019-02-07 07:19:42
22,1;100,7;16,9;2019-02-07 08:19:42
22,4;100,7;17,1;2019-02-07 09:19:42
22,5;100,6;17,5;2019-02-07 10:19:42
22,5;100,6;17,6;2019-02-07 11:19:42
22,5;100,4;17,6;2019-02-07 12:19:42
22,4;100,3;18,0;2019-02-07 13:19:42
22,4;100,2;24,1;2019-02-07 14:19:42
22,4;100,2;25,8;2019-02-07 15:19:42
22,7;98,8;31,8;2019-02-09 09:30:43
22,7;98,8;31,8;2019-02-09 09:38:03
22,7;98,8;31,8;2019-02-09 11:37:47
22,7;98,8;31,8;2019-02-09 11:47:44
22,7;98,8;31,8;2019-02-09 15:19:28
22,7;98,8;31,8;2019-02-11 12:59:14
22,7;98,8;31,8;2019-02-12 18:04:04
22,7;98,8;31,8;2019-02-13 14:50:46
22,7;98,8;31,8;2019-02-13 15:00:06
